[/bin/bash] ## This is shankaras1 on #HOSTNAME and job ID 2436702
[/bin/bash] Current working directory: /home/shankaras1/data1/Maj_WH
[/bin/bash] Running Python script
Outputs directory created
Dump directory created
dw =  2.3968449809785852e-05
dt =  0.0625
T Target =  0.0004997501249375312
itern =  70  , diff =  24346.024115436674  , x =  0.01
itern =  71  , diff =  23861.529144310847  , x =  0.01
itern =  72  , diff =  23387.323427639723  , x =  0.01
itern =  73  , diff =  22923.17342618903  , x =  0.01
itern =  74  , diff =  22468.846722551374  , x =  0.01
itern =  75  , diff =  22024.1126348053  , x =  0.01
itern =  76  , diff =  21588.74283946651  , x =  0.01
itern =  77  , diff =  21162.511981617026  , x =  0.01
itern =  78  , diff =  20745.198252939874  , x =  0.01
itern =  79  , diff =  20336.583921794314  , x =  0.01
itern =  80  , diff =  19936.455803198936  , x =  0.01
itern =  81  , diff =  19544.60566036796  , x =  0.01
itern =  82  , diff =  19160.830533055407  , x =  0.01
itern =  83  , diff =  18784.932991237445  , x =  0.01
itern =  84  , diff =  18416.721315472212  , x =  0.01
itern =  85  , diff =  18056.009607573873  , x =  0.01
itern =  86  , diff =  17702.617836978217  , x =  0.01
itern =  87  , diff =  17356.371829395895  , x =  0.01
itern =  88  , diff =  17017.103205085194  , x =  0.01
itern =  89  , diff =  16684.649274387462  , x =  0.01
itern =  90  , diff =  16358.852898137395  , x =  0.01
itern =  91  , diff =  16039.562320254496  , x =  0.01
itern =  92  , diff =  15726.630979318632  , x =  0.01
itern =  93  , diff =  15419.917305295352  , x =  0.01
itern =  94  , diff =  15119.284506862143  , x =  0.01
itern =  95  , diff =  14824.600354044305  , x =  0.01
itern =  96  , diff =  14535.7369601296  , x =  0.01
itern =  97  , diff =  14252.570566127815  , x =  0.01
itern =  98  , diff =  13974.981330388873  , x =  0.01
itern =  99  , diff =  13702.853125405558  , x =  0.01
itern =  100  , diff =  13436.073343306594  , x =  0.01
##### Finished beta =  2  INFO =  (101, 13174.532711099208, 0.01)
itern =  1  , diff =  66861.67857371562  , x =  0.01
itern =  2  , diff =  123210.5893800267  , x =  0.01
itern =  3  , diff =  120327.40146611125  , x =  0.01
itern =  4  , diff =  116095.91734172004  , x =  0.01
itern =  5  , diff =  111251.63256823708  , x =  0.01
itern =  6  , diff =  105772.88279728855  , x =  0.01
itern =  7  , diff =  99944.28670242571  , x =  0.01
itern =  8  , diff =  94568.93789541235  , x =  0.01
itern =  9  , diff =  89817.90738062671  , x =  0.01
itern =  10  , diff =  85866.92597707004  , x =  0.01
itern =  11  , diff =  82821.13813974995  , x =  0.01
itern =  12  , diff =  80516.40367769593  , x =  0.01
itern =  13  , diff =  78668.79138218235  , x =  0.01
itern =  14  , diff =  77147.0306985068  , x =  0.01
itern =  15  , diff =  76121.82844604888  , x =  0.01
itern =  16  , diff =  81854.08119913707  , x =  0.01
itern =  17  , diff =  75271.61302733421  , x =  0.01
itern =  18  , diff =  71254.54545555051  , x =  0.01
itern =  19  , diff =  69293.42849309719  , x =  0.01
itern =  20  , diff =  67681.58560388524  , x =  0.01
itern =  21  , diff =  66198.67317741609  , x =  0.01
itern =  22  , diff =  64790.085205256044  , x =  0.01
itern =  23  , diff =  63434.46632222469  , x =  0.01
itern =  24  , diff =  62121.27574087243  , x =  0.01
itern =  25  , diff =  60844.50508594032  , x =  0.01
itern =  26  , diff =  59600.35902831744  , x =  0.01
itern =  27  , diff =  58386.24082406662  , x =  0.01
itern =  28  , diff =  57200.25465045648  , x =  0.01
itern =  29  , diff =  56040.94008174084  , x =  0.01
itern =  30  , diff =  54907.12090738377  , x =  0.01
itern =  31  , diff =  53797.81442674766  , x =  0.01
itern =  32  , diff =  52712.17461385126  , x =  0.01
itern =  33  , diff =  51649.45517080608  , x =  0.01
itern =  34  , diff =  50608.98473682958  , x =  0.01
itern =  35  , diff =  49590.14978648143  , x =  0.01
itern =  36  , diff =  48592.38253970125  , x =  0.01
itern =  37  , diff =  47615.15222575025  , x =  0.01
itern =  38  , diff =  46657.95864471427  , x =  0.01
itern =  39  , diff =  45720.327336242306  , x =  0.01
itern =  40  , diff =  44801.805893988625  , x =  0.01
itern =  41  , diff =  43901.96111084666  , x =  0.01
itern =  42  , diff =  43020.37673602729  , x =  0.01
itern =  43  , diff =  42156.65168917699  , x =  0.01
itern =  44  , diff =  41310.39862034182  , x =  0.01
itern =  45  , diff =  40481.242734739826  , x =  0.01
itern =  46  , diff =  39668.82082248807  , x =  0.01
itern =  47  , diff =  38872.780448490485  , x =  0.01
itern =  48  , diff =  38092.77926858482  , x =  0.01
itern =  49  , diff =  37328.48444595691  , x =  0.01
