[/bin/bash] ## This is shankaras1 on #HOSTNAME and job ID 2360175
[/bin/bash] Current working directory: /home/shankaras1/data1/Maj_WH
[/bin/bash] Running Python script
##### NOW beta =  1 ############

itern =  1  , diff =  114.80364158483295 114.80364158483295  , x =  0.25 0.25
itern =  3  , diff =  69.54323339475535 69.54323339475535  , x =  0.25 0.25
itern =  4  , diff =  51.851990103994034 51.851990103994034  , x =  0.25 0.25
itern =  5  , diff =  39.360687946926795 39.360687946926795  , x =  0.25 0.25
itern =  6  , diff =  29.784278657389272 29.784278657389272  , x =  0.25 0.25
itern =  7  , diff =  22.46692503314749 22.46692503314749  , x =  0.25 0.25
itern =  8  , diff =  16.894842115416616 16.894842115416616  , x =  0.25 0.25
itern =  9  , diff =  12.665769571014835 12.665769571014835  , x =  0.25 0.25
itern =  10  , diff =  9.466329027371271 9.466329027371271  , x =  0.25 0.25
itern =  11  , diff =  7.0534788134126645 7.0534788134126645  , x =  0.25 0.25
itern =  12  , diff =  5.2395010955349575 5.2395010955349575  , x =  0.25 0.25
itern =  13  , diff =  3.879967001904437 3.879967001904437  , x =  0.25 0.25
itern =  14  , diff =  2.864162168761399 2.864162168761399  , x =  0.25 0.25
itern =  15  , diff =  2.1075171602472778 2.1075171602472778  , x =  0.25 0.25
itern =  16  , diff =  1.5456553436478997 1.5456553436478997  , x =  0.25 0.25
itern =  17  , diff =  1.1297355505282802 1.1297355505282802  , x =  0.25 0.25
itern =  18  , diff =  0.8228244842295633 0.8228244842295633  , x =  0.25 0.25
itern =  19  , diff =  0.5970833747667201 0.5970833747667201  , x =  0.25 0.25
itern =  20  , diff =  0.43159508671493585 0.43159508671493585  , x =  0.25 0.25
itern =  21  , diff =  0.31069249862099046 0.31069249862099046  , x =  0.25 0.25
itern =  22  , diff =  0.22267739221414887 0.22267739221414887  , x =  0.25 0.25
itern =  23  , diff =  0.1588422173983418 0.1588422173983418  , x =  0.25 0.25
itern =  24  , diff =  0.11272577374251355 0.11272577374251355  , x =  0.25 0.25
itern =  25  , diff =  0.07954882185627282 0.07954882185627282  , x =  0.25 0.25
itern =  26  , diff =  0.05578756463134531 0.05578756463134531  , x =  0.25 0.25
itern =  27  , diff =  0.03885238175085647 0.03885238175085647  , x =  0.25 0.25
itern =  28  , diff =  0.02684663808460855 0.02684663808460855  , x =  0.25 0.25
itern =  29  , diff =  0.01838621895478621 0.01838621895478621  , x =  0.25 0.25
itern =  30  , diff =  0.012465014438002256 0.012465014438002256  , x =  0.25 0.25
itern =  31  , diff =  0.008355195682349523 0.008355195682349523  , x =  0.25 0.25
itern =  32  , diff =  0.00553419138223772 0.00553419138223772  , x =  0.25 0.25
itern =  33  , diff =  0.00363365800633999 0.00363365800633999  , x =  0.25 0.25
itern =  34  , diff =  0.002411200419598587 0.002411200419598587  , x =  0.25 0.25
itern =  35  , diff =  0.0017263159731880223 0.0017263159731880223  , x =  0.25 0.25
itern =  36  , diff =  0.0013849677724142434 0.0013849677724142434  , x =  0.25 0.25
itern =  37  , diff =  0.0011597743261418682 0.0011597743261418682  , x =  0.25 0.25
itern =  38  , diff =  0.0009715316481038723 0.0009715316481038723  , x =  0.25 0.25
itern =  39  , diff =  0.0008060948868448795 0.0008060948868448795  , x =  0.25 0.25
itern =  40  , diff =  0.0006616301149152366 0.0006616301149152366  , x =  0.25 0.25
itern =  41  , diff =  0.0005375964786223144 0.0005375964786223144  , x =  0.25 0.25
itern =  42  , diff =  0.0004328917326732244 0.0004328917326732244  , x =  0.25 0.25
itern =  43  , diff =  0.00034580696575940554 0.00034580696575940554  , x =  0.25 0.25
itern =  44  , diff =  0.00027428953173786017 0.00027428953173786017  , x =  0.25 0.25
itern =  45  , diff =  0.00021618841222847233 0.00021618841222847233  , x =  0.25 0.25
itern =  46  , diff =  0.0001694238532274746 0.0001694238532274746  , x =  0.25 0.25
itern =  47  , diff =  0.00013208718154027665 0.00013208718154027665  , x =  0.25 0.25
itern =  48  , diff =  0.00010248911455015998 0.00010248911455015998  , x =  0.25 0.25
itern =  49  , diff =  7.91738068195837e-05 7.91738068195837e-05  , x =  0.25 0.25
itern =  50  , diff =  6.091189276058498e-05 6.091189276058498e-05  , x =  0.25 0.25
itern =  51  , diff =  4.668186058022169e-05 4.668186058022169e-05  , x =  0.25 0.25
itern =  52  , diff =  3.564597657178331e-05 3.564597657178331e-05  , x =  0.25 0.25
