Outputs directory created
Dump directory created
dw =  0.00019174759848539225
dt =  0.0625
T Target =  0.004975124378109453
itern =  253  , diff =  34.26555427203314  , x =  0.019073147605331426
itern =  254  , diff =  34.963861951902786  , x =  0.019073147605331426
itern =  255  , diff =  35.692784612632614  , x =  0.019073147605331426
itern =  256  , diff =  36.45420850073106  , x =  0.019073147605331426
itern =  257  , diff =  37.250176349113524  , x =  0.019073147605331426
itern =  258  , diff =  38.082903774558254  , x =  0.019073147605331426
itern =  259  , diff =  38.954797771659486  , x =  0.019073147605331426
itern =  260  , diff =  39.86847762066454  , x =  0.019073147605331426
itern =  261  , diff =  40.82679858288822  , x =  0.019073147605331426
itern =  262  , diff =  41.83287882692525  , x =  0.019073147605331426
itern =  263  , diff =  42.89013011505946  , x =  0.019073147605331426
itern =  264  , diff =  44.00229288466661  , x =  0.019073147605331426
itern =  265  , diff =  45.17347648479668  , x =  0.019073147605331426
itern =  266  , diff =  46.40820547282271  , x =  0.019073147605331426
itern =  267  , diff =  47.71147304153002  , x =  0.019073147605331426
itern =  268  , diff =  49.088802844322224  , x =  0.019073147605331426
itern =  269  , diff =  50.54632074512616  , x =  0.019073147605331426
itern =  270  , diff =  52.0908383921337  , x =  0.019073147605331426
itern =  271  , diff =  53.72995106110386  , x =  0.019073147605331426
itern =  272  , diff =  55.47215296272285  , x =  0.019073147605331426
itern =  273  , diff =  57.32697409652888  , x =  0.019073147605331426
itern =  274  , diff =  59.305143574376025  , x =  0.019073147605331426
itern =  275  , diff =  61.418784898278346  , x =  0.019073147605331426
itern =  276  , diff =  63.68164896777469  , x =  0.019073147605331426
itern =  277  , diff =  66.10939132952163  , x =  0.019073147605331426
itern =  278  , diff =  68.71990318419712  , x =  0.019073147605331426
itern =  279  , diff =  71.53371349326775  , x =  0.019073147605331426
itern =  280  , diff =  74.57449353884225  , x =  0.019073147605331426
itern =  281  , diff =  77.8697118784578  , x =  0.019073147605331426
itern =  282  , diff =  81.45149457355166  , x =  0.019073147605331426
itern =  283  , diff =  85.3577240206213  , x =  0.019073147605331426
itern =  284  , diff =  89.63335045117421  , x =  0.019073147605331426
itern =  285  , diff =  94.33182880325762  , x =  0.019073147605331426
itern =  286  , diff =  99.51665092774576  , x =  0.019073147605331426
itern =  287  , diff =  105.26331808317809  , x =  0.019073147605331426
itern =  288  , diff =  111.66292115894163  , x =  0.019073147605331426
itern =  289  , diff =  118.82945784796206  , x =  0.019073147605331426
itern =  290  , diff =  126.91289660515561  , x =  0.019073147605331426
itern =  291  , diff =  136.11668487062394  , x =  0.019073147605331426
itern =  292  , diff =  146.71055662988718  , x =  0.019073147605331426
itern =  293  , diff =  159.02092414790044  , x =  0.019073147605331426
itern =  294  , diff =  173.38776638589667  , x =  0.019073147605331426
itern =  295  , diff =  190.13184329798878  , x =  0.019073147605331426
itern =  296  , diff =  209.70679887040654  , x =  0.019073147605331426
itern =  297  , diff =  233.34133194000978  , x =  0.019073147605331426
itern =  298  , diff =  264.36201820228496  , x =  0.019073147605331426
itern =  299  , diff =  309.8437945236771  , x =  0.019073147605331426
itern =  300  , diff =  380.3779710412666  , x =  0.019073147605331426
itern =  301  , diff =  477.2563326792187  , x =  0.019073147605331426
itern =  302  , diff =  558.159713443855  , x =  0.019073147605331426
itern =  303  , diff =  584.302511481299  , x =  0.019073147605331426
itern =  304  , diff =  636.8756667951287  , x =  0.019073147605331426
itern =  305  , diff =  899.7053538458044  , x =  0.019073147605331426
itern =  306  , diff =  1947.3424556146078  , x =  0.019073147605331426
itern =  307  , diff =  2180.895743847444  , x =  0.019073147605331426
itern =  308  , diff =  1102.3314243776865  , x =  0.02098046236586457
itern =  309  , diff =  1106.5126048325967  , x =  0.010490231182932285
itern =  310  , diff =  645.3319198487688  , x =  0.011539254301225514
itern =  311  , diff =  1499.8360949444266  , x =  0.011539254301225514
itern =  312  , diff =  832.0402333526184  , x =  0.012693179731348066
itern =  313  , diff =  485.44038884543573  , x =  0.013962497704482874
itern =  314  , diff =  378.9623538755278  , x =  0.015358747474931163
itern =  315  , diff =  455.77761683954634  , x =  0.015358747474931163
itern =  316  , diff =  308.5621354350699  , x =  0.016894622222424282
itern =  317  , diff =  203.27136102464334  , x =  0.01858408444466671
itern =  318  , diff =  180.6832491750083  , x =  0.020442492889133385
itern =  319  , diff =  178.3014663313411  , x =  0.022486742178046724
itern =  320  , diff =  184.94724278894944  , x =  0.011243371089023362
itern =  321  , diff =  40.74026810548425  , x =  0.012367708197925698
itern =  322  , diff =  46.76247531602878  , x =  0.012367708197925698
itern =  323  , diff =  44.36966721317013  , x =  0.013604479017718269
itern =  324  , diff =  51.17369068686792  , x =  0.013604479017718269
itern =  325  , diff =  48.74741168514465  , x =  0.014964926919490097
itern =  326  , diff =  56.3869591120039  , x =  0.014964926919490097
itern =  327  , diff =  53.8377540583997  , x =  0.01646141961143911
itern =  328  , diff =  62.374569571270605  , x =  0.01646141961143911
itern =  329  , diff =  59.621495826744194  , x =  0.01810756157258302
itern =  330  , diff =  69.11741439073222  , x =  0.01810756157258302
itern =  331  , diff =  66.08008785713983  , x =  0.019918317729841324
itern =  332  , diff =  76.5910026030647  , x =  0.019918317729841324
itern =  333  , diff =  73.18520471618322  , x =  0.02191014950282546
itern =  334  , diff =  84.75559678710461  , x =  0.01095507475141273
itern =  335  , diff =  20.222723930713183  , x =  0.012050582226554004
